名称,品质,商城价格,商城价格2,具体描述,物品类型
购物的丘可,,950回声,,Line Friends联动限定家具,奇珍家具
古典配枪,独特,258回声,968碎片,空军自入伍时便随身携带的配枪，即便没有什么特别的用处，她也相信这个老伙计会给自己带来一点好运,独特品质随身物品
古董商 点睛,,98回声,,点睛动作，古董商专属,个性动作
孤帆,独特,258回声,968碎片,绘出几道星月，仿佛有光；叠成一艘纸船，仿佛有路。,独特品质随身物品
古石面具,独特,258回声,968碎片,长有触手的石质破损面具,独特品质随身物品
古物化石,,258回声,968碎片,找了十五家店，没一个识货的。,独特随身物品
孤月骑士,,2888回声,12888碎片,骑士枯守着孤月的倒影，王子溺溺于谎言的河流。,稀世时装
古韵书斋,,2150回声,11688线索,,稀世家具
挂画组合2,,230回声,,,家具
怪诞南瓜塔,,950回声,4188线索,头戴奇怪帽子的南瓜之塔，适合摆放在门口（2022万圣节家具）,家具
怪鸟,,2888回声,12888碎片,那是一只挑食的鸟儿，她喜欢善良的甜美，恐惧的清冽，悲伤的浓郁还有绝望的回甘。,稀世时装
怪屋,,1068回声,3888碎片,怪屋里藏着什么？稚嫩的好奇心，一往无前的勇气，以及无数闪闪发光的快乐。,奇珍随身物品
观察者,,888碎片,,一个会记录你一举一动的玩意儿，你确定它不是监管者派来的?,独特随从
冠军舵手,稀世,2888回声,12888碎片,获胜的奖杯随身携带，共同夺冠的“战友”已然不在。,稀世品质时装
冠冕下的“爱德华”,奇珍,1388回声,4888碎片,当他戴上这顶本不属于自己的冠冕，加冕的并非荣耀，而是整个王国的重量，与一场无人知晓的盛大谎言。,奇珍品质时装
观星,,1068回声,3888碎片,看着你，永恒亦是刹那。,奇珍随身物品
鬼火南瓜,,888回声,3188碎片,万圣节的恶作剧怎能少了南瓜和鬼火?据说还有人给它作画！,奇珍随从
鬼脸披肩,奇珍,788回声,2988碎片,无面的雾都怪人将自己的表情全集中在这条诡异的披肩上。,奇珍品质随身物品
归宿家具 忘川渡人,,1188回声,11688线索,忘川渡人系列限定家具,稀世家具
归宿家具 远洋科考船,,2150回声,11688线索,“起航！向着未知！”“不，等等，这是什么……”（2024年“俄刻阿诺斯的航迹”活动期间家具）,稀世家具
归宿家具 遮阳伞,,230回声,,与躺椅搭配才是最快乐的（2023年“海岛夏日记”活动家具）,家具
归燕,奇珍,848回声,,“笙歌散尽游人去，始觉春空。垂下帘栊。双燕归来细雨中。”,奇珍品质随身物品
滚滚伙伴,,838回声,,嘿！来拍张彩色照片吗？（熊猫系列时装）,奇珍时装
哈雷车手,独特,288回声,1088碎片,哈雷车手是机械与激情的完美融合!,独特品质时装
哈姆雷特,奇珍,1388回声,4888碎片,"To be , or not to be , that is the question.",奇珍品质时装
海岸花环,,1068回声,3888碎片,准备赠与贵客的花环，表达了喜悦、欢乐，以及一些过度的热情。,奇珍随身物品
海滨地灯,,230回声,1088线索,,独特家具
海滨之窗,,950回声,4188线索,,奇珍家具
海滨装饰板,,230回声,1088线索,,独特家具
海德先生,奇珍,1388回声,4888碎片,每一种越界的欲望，都在等待着良知退场。,奇珍品质时装
海底遗物,奇珍,788回声,2988碎片,落入大海的，就属于大海了。,奇珍品质随身物品
海风轻语,,1068回声,3888碎片,潮水拍打脚踝，反复冲刷内心深处的记忆——不会离开，也从未遗忘。,奇珍随身物品
海军仪仗,独特,288回声,1088碎片,如果有谁认为仪仗队的军人只是摆设，那她一定会让他们彻底改观,独特品质时装
海螺,独特,258回声,968碎片,传说中有只海螺能起死回生，永驻容颜，是无数人渴求的珍宝，而这只连普通的光泽都失去了。,独特品质随身物品
海女巫,,1388回声,,她随波逐浪，在海的底处向上寻找阳光。,奇珍时装
海神的祝福,独特,258回声,968碎片,他们说，当你的船边出现海豚，这趟旅程就会一帆风顺。,独特品质随身物品
海鲜桶,奇珍,1068回声,,敖烈的海鲜桶。,奇珍品质随身物品
海盐特调,,2888回声,12888碎片,一点点杯边的盐粒，能在舌尖漫延成整片浪花。,稀世时装
海洋藏品柜,,230回声,1088线索,美丽的海洋标本，代表着本次科考之旅的收获（2024年“俄刻阿诺斯的航迹”活动期间家具）,家具
寒晶,稀世,2888回声,12888碎片,,稀世品质时装
寒霜,,2888回声,12888碎片,热情，就像过载的蒸汽，只会摧毁你的头脑，精密的智慧，需要时刻保持冷静。,限时稀世时装
汗水的谢礼,独特,258回声,968碎片,“谢谢你看我的表演。”,独特品质随身物品
含桃,独特,258回声,968碎片,齐讴秦吹卢女弦，千金雇笑买芳年,独特品质随身物品
寒香舞,稀世,2888回声,12888碎片,零落成泥碾作尘，只有香如故。,稀世品质时装
旱烟斗,独特,258回声,968碎片,一位酋长的礼物，代表友谊与和平,独特品质随身物品
喝彩,奇珍,788回声,2988碎片,最传统的搭档，最精彩的表演，让喝彩声经久不息。,奇珍品质随身物品
黑白美,,888回声,3188碎片,兔美老师被黑白熊欺负后变成的样子,奇珍随从
黑猫之窗,,230回声,4188线索,古老的城堡之中，“她”一直在默默地注视着你……（2023年万圣节家具）,家具
黑玫瑰,,1388回声,,在西部的酒馆中，充斥着形形色色的人，做着暴富美梦的淘金者、衣衫褴褛的落魄牛仔，当然还有像她这样的赏金猎人。对于黑玫瑰夫人来说，在西部，每个人头早已被明码标价。,奇珍时装
黑天鹅之羽,,1388回声,,她如何才能离开拘束的牢笼，如高贵冷艳的黑天鹅那样优雅地舞动在自己的天际？,奇珍时装
黑鸦,,1388回声,,掠杀的工具，王国的棋子……她被冠以太多名号，早已无法遵循自己内心的善意。,奇珍时装
黑郁金香,,1388回声,4888碎片,英雄，还是利己者？,奇珍时装
黑泽纱重,,1388回声,,黑泽纱重的时装,奇珍时装
Hello Kitty机械玩偶,,488回声,,第五人格×三丽鸥大明星 联动随从,独特随从
横木,,60回声,,小心，最微弱的击触，都可能落下败北的苦果。,商城限时时装
红蝶 致意,,98回声,,致意动作，红蝶专属，最佳演绎动作,个性动作
红镜龙,,950回声,,,家具
红菱艳,奇珍,1388回声,4888碎片,时至落幕，她终于脱下了那双被“诅咒”的红舞鞋。,奇珍品质时装
红叶笺,,198回声,968碎片,在深秋的红叶下，他是否也偶尔想起远方的故乡。,独特随身物品
红衣稻草人,,288回声,,,独特家具
呼唤,稀世,1888回声,8388碎片,伊德海拉，我们唯一的救主，请垂怜你的信徒。,稀世品质随身物品
护林人之弓,独特,258回声,968碎片,不归林守护者的象征,独特品质随身物品
弧矢星,奇珍,1108回声,,天弓寻狼，摘星冕誉。,奇珍品质时装
胡桃夹子,,1388回声,,咔啦，什么东西裂开了。,奇珍时装
胡子先生,,488回声,1488碎片,胡子先生从不拒绝好心人的小鱼干。,独特随从
华贵的餐桌,,950回声,,,家具
花嫁,稀世,2888回声,12888碎片,这是她曾憧憬过的装束，在失去那个人后获得了。,稀世品质时装
画家 收礼物,,98回声,,收礼物动作，画家专属,独特个性动作
花间晚祷,奇珍,1388回声,,蝴蝶停息于此：兴许这世间仍有自然之物，在冥冥中垂怜这双深藏仁爱与虔诚的眼睛。,奇珍品质时装
花轿,,2150回声,,,稀世家具
花千树,稀世,2888回声,12888碎片,东风夜放花千树，更吹落，星如雨。宝马雕车香满路。凤箫声动，玉壶光转，一夜鱼龙舞。,稀世品质时装
花蕊,,60回声,,艳丽的花蕊，不一定都来自爱与希望的呵护，也可能来自恨与疼痛的洗练。,商城限时时装
花序,稀世,2888回声,12888碎片,花香，春序。,稀世品质时装
化学实验台,,950回声,4188线索,实验守则第一条：不要乱尝手里的试剂。（2024年“俄刻阿诺斯的航迹”活动期间家具）,家具
唤潮,稀世,1888回声,8388碎片,暮去朝来淘不住，遂令东海变桑田。,稀世品质随身物品
欢呼,奇珍,788回声,2988碎片,向胜利冲刺！,奇珍品质随身物品
欢欢,,488回声,1488碎片,是一只猴子，还是一个外星人?《疯狂的外星人》电影联动限定随从,独特随从
欢闹靠椅,,950回声,,热闹的氛围颇为温馨，代价是别想坐在它上面安静地看完一行字。,家具
换牌器,独特,258回声,968碎片,命运的牌局，总有不为人知的洗牌者。,独特品质随身物品
荒诞之令,奇珍,1068回声,3888碎片,最荒诞的敕令是自封为皇。,奇珍品质随身物品
皇家骑兵,独特,288回声,1088碎片,皇家骑兵的礼服从来不只是一套华丽的着装，更是勇气、责任、实力的标志,独特品质时装
黄玫瑰之骸,稀世,1888回声,8388碎片,长眠于此的不仅仅只有歉意。,稀世品质随身物品
荒芜树灯,,950回声,4188线索,本已枯萎的树枝被人重新装饰、雕刻，再次展现出了生机（2022万圣节家具）,家具
谎言之杖,稀世,1888回声,8388碎片,若谎言编织的冠冕足够耀眼，那是否能够掩盖其下荒芜的真相？,稀世品质随身物品
荒原之花,奇珍,1388回声,,野风与山岚滋养了她蓬勃生长的理想。,奇珍品质时装
灰烬狂想,,1388回声,,灰烬中绽放花朵，才会记得火焰的炽烈。,奇珍时装
回旋镖,奇珍,788回声,2988碎片,击倒你的是过去的自己。,奇珍品质随身物品
毁誉之印,稀世,1888回声,8388碎片,在印章的敲击声中，他已经做好了毁约的准备。,稀世品质随身物品
婚礼请柬,独特,258回声,968碎片,不知遗忘在何处的请柬，已经成了一场悲剧演出的过期门票。,独特品质随身物品
火车头,,2888回声,12888碎片,他所坚守的列车没有到达站点。但即便寒冷封冻了一切，他仍要带着永不停熄的发动机，成为没有终点的末班车。,稀世时装
火火火,奇珍,788回声,2988碎片,生命和梦想，先燃尽的会是哪一个呢？,奇珍品质随身物品
火箭枕头,独特,258回声,968碎片,长时间的狩猎之后，我真想好好睡上一觉。,独特品质随身物品
火焰精灵,奇珍,788回声,2988碎片,调皮的火焰精灵窜到了这个小瓶之中。,奇珍品质随身物品
寄巢,独特,258回声,968碎片,巢穴是如此安宁，无情的掠夺者用谎言迷惑育雏的亲鸟，静静等待着能够打破“桎梏”的命运时刻。,独特品质随身物品
继电器,,258回声,968碎片,这个小部件在正常工作时能让人安全地操作百万伏特的电压。,独特随身物品
悸动,,1068回声,3888碎片,,奇珍随身物品
急冻核心,,1068回声,3888碎片,凝结，是科学赋予时间的伟大魔法。,限时奇珍随身物品
吉尔达,奇珍,1388回声,,吉尔达的服装。,奇珍品质时装
机关密匣,稀世,1888回声,8388碎片,当齿轮带动机关旋转，匣中的小小庄园会再度打开门扉，一如他记忆中的模样。,稀世品质随身物品
机关囚笼,奇珍,788回声,2988碎片,自由的鸟儿是关不住的。,奇珍品质随身物品
计划书,,1188碎片,318回声,最初，他只是拿出了一份计划，目标明确，路径清晰，却没有人相信这些狂想真的能实现。,独特时装
寂静闹钟,,388碎片,,警告：随时可能响起!,罕见随从
急救包,独特,258回声,968碎片,作为一个冒险家，有了急救包，就可以应付各种情况,独特品质随身物品
极乐熔毁,,788回声,2988碎片,看着它，可怜的小人儿。你的理性和灵魂正在逐渐逃离这个愚蠢世界。,奇珍随身物品
吉利,,888回声,3188碎片,狼的基本处事准则之一：有福同享，有难同当。,奇珍随从
机灵鬼,奇珍,1388回声,4888碎片,“喂，别担心，就当你是这个家的一份子！不论什么，我们都一起分享。”,奇珍品质时装
鸡毛掸子,独特,258回声,968碎片,尘埃落定之时，真相亦随之飘散。,独特品质随身物品
祭司 信物,独特,258回声,968碎片,古怪的填充物从中满溢而出，将其当做信物的人，其信仰一定异于常人,独特品质随身物品
吉祥物,独特,258回声,968碎片,希望今年也是个丰收年,独特品质随身物品
机械师 狐狸玩偶,奇珍,1068回声,,九月的狐狸玩偶。,奇珍品质随身物品
机械师松鼠,,888回声,3188碎片,没见过拿扳手的松鼠？现在你见到了。,奇珍随从
机械之心,奇珍,788回声,2988碎片,人偶师在嬉命人帮助下完成的组件，其衍生的拟态触手既能增强玩偶机动力，又能用于伪装。,奇珍品质随身物品
机械钟,,950回声,4188线索,,奇珍家具
记忆囚笼,,1068回声,3888碎片,锁链困住了记忆，却无法禁锢自由。,奇珍随身物品
集邮册,奇珍,788回声,2988碎片,你轻弃的废物，却是他人的宝物。,奇珍品质随身物品
积雨云,独特,258回声,968碎片,羊毛制成的织品有着不逊于真正云朵的洁白与柔软。,独特品质随身物品
加拉尔,,3888碎片,1068回声,星海之上，谁会为我引路,奇珍随身物品
加里,,1178回声,,身着破旧风衣的男人。（2025年Ib联动限定获得）,奇珍时装
家庭时光,奇珍,788回声,2988碎片,那些屋檐下亮起的灯火，曾见证过记录着爱意的家庭时光。,奇珍品质随身物品
家园设计师,奇珍,838回声,,了解丰容知识，让动物们自在成长！（熊猫系列时装）,奇珍品质时装
剪刀手爱德华,,1388回声,4888碎片,他终是回到了属于他的地方。,奇珍时装
剪骨钳,奇珍,788回声,2988碎片,锋利而狂热,奇珍品质随身物品
监管者通用 放礼炮,,98回声,,放礼炮动作，全监管者通用,个性动作
尖叫潘笛,奇珍,788回声,2988碎片,人们的尖叫是她现在唯一的乐音。,奇珍品质随身物品
检流计,,258回声,968碎片,精准有力的动作需要更加精准的电流引导。,独特随身物品
箭头挂坠,独特,258回声,968碎片,戴着它就会很安心。,独特品质随身物品
见证,稀世,1888回声,8388碎片,庐山烟雨浙江潮，未到千般恨不消。,稀世品质随身物品
翦烛,稀世,2888回声,12888碎片,,稀世品质时装
姜·皮耶,,888回声,3188碎片,外貌骇人的奇怪木偶，似乎拥有自己的意识。(《伊藤润二惊选集》联动限定随从),奇珍随从
姜饼人摆件,,230回声,1088线索,,家具
江户川柯南,,2388回声,,江户川柯南的服装。,稀世时装
脚踝终结者,独特,258回声,968碎片,看到它一身尖刺就明白小丑另一只脚的下场了，但小丑一直很钟爱这位演出的伙伴,独特品质随身物品
角色礼花（机械师）,,950回声,,可以发射机械师头像模样的烟花，一起在归宿里点燃试试吧！（2023年春节家具）,家具
角色礼花（魔术师）,,950回声,,可以发射魔术师头像模样的烟花，一起在归宿里点燃试试吧！（2023年春节家具）,家具
角色礼花（小丑）,,950回声,,可以发射小丑头像模样的烟花，一起在归宿里点燃试试吧！（2023年春节家具）,家具
结冰的齿轮,奇珍,788回声,2988碎片,理想的组件应在各种情况下照常运行，而这，是个失败品。,奇珍品质随身物品
街道挂画,,230回声,,,家具
桀桀,,788回声,,REJECT YOUR LIMITS. 2025IJL夏季赛冠军REJECT战队随从。,奇珍随从
介壳虫,,1968回声,3888碎片,透过夏的缝隙，看到的是一片安宁，花朵正在凋零，贝尔斯泰因真美。,奇珍随身物品
阶下囚,独特,318回声,1188碎片,我早说过，十年前就不该心慈手软让你活下来……我才是光辉之主，是高塔之王……,独特品质时装
金,,1388回声,4888碎片,年华易逝，惟愿他记得我年轻时的模样。,奇珍时装
进化,稀世,1888回声,8388碎片,并非所有物种都能存活，而这正是进化的意义。,稀世品质随身物品
禁忌之匙,奇珍,788回声,2988碎片,在漫长的岁月里，这把打开禁忌之门的钥匙，静静地躺在渺无人烟的山林中，耐心的等待着，等着那些好奇的人将灾难带回世界。,奇珍品质随身物品
金剪刀,,318回声,,第三个问题，枷锁之中的猎物，是该用顺从来换取一线生机，还是用反抗来与猎人同归于尽?,独特时装
金铃,独特,258回声,968碎片,舞者们喜欢的饰物,独特品质随身物品
金属照片框,,950回声,4188线索,,奇珍家具
金算盘,奇珍,1068回声,3888碎片,啪嗒、啪嗒......没人比他更会算数了！,奇珍品质随身物品
今夜不再,,2888回声,12888碎片,在红酒的微醺退去前离开吧，离开你选择遗忘的真相,稀世时装
金质玫瑰,独特,258回声,968碎片,很难相信如此精致的手工艺品出自远古人类之手,独特品质随身物品
锦中鳞,,1108回声,,锦鳞静波韬藏久，一跃龙门擢魁斗。,奇珍时装
惊鸿,,2888回声,12888碎片,鸿钧广运，嘉节良辰。灯影遂愿，千秋一梦中。,稀世时装
警徽,独特,258回声,968碎片,虽然出示了警徽，但仍然令人倍感不安，这警徽是否真属于他?,独特品质随身物品
鲸落,奇珍,788回声,2988碎片,坠入深渊，再重获新生。或许这也只是生命的又一场轮回。,奇珍品质随身物品
净面,奇珍,788回声,2988碎片,净面，是仪式的第一步。,奇珍品质随身物品
静止,独特,258回声,968碎片,如果连这种简单的运动都无法实现，又怎么实现永动？,独特品质随身物品
静滞旋风,独特,258回声,968碎片,一股旋风，停留在了它形成的那一刻,独特品质随身物品
镜中人,,888回声,3188碎片,镜与人俱去，镜归人不归。,奇珍随从
纠缠,奇珍,788回声,2988碎片,你永远摆脱不了我的，永远！,奇珍品质随身物品
酒瓶,独特,258回声,968碎片,胜利者才有资格享用欢庆的祝酒!,独特品质随身物品
旧日征帆,,1068回声,3888碎片,海不会留下探索者的航迹，但人们的记忆可以。人们铭记往昔，并将其重塑。,奇珍随身物品
救生绳,独特,258回声,968碎片,在坠落之前，它能够帮助你。在绝望之际，他将会拯救你。,独特品质随身物品
酒侍,,1188碎片,318回声,“是什么让你颤抖？是什么让酒渍染花了你的裙子？亲爱的，这可不像个淑女。”,独特时装
九月,奇珍,1388回声,,“我是九月，一条修炼了两百年的九尾狐！”,奇珍品质时装
剧毒囊体,奇珍,788回声,2988碎片,蜘蛛有很多令人生畏的武器，蛛网只是其中之一，别忘了还有那致命的剧毒，只要少许一点，就能决定猎物的命运。,奇珍品质随身物品
拒刃匕首,,1068回声,,艾札克·佛斯特的匕首。,奇珍随身物品
卷发棒,独特,258回声,968碎片,戏剧有时候需要一些波折才精彩。,独特品质随身物品
绝境航船,稀世,1888回声,8388碎片,绝望与成功总是相生相伴。,稀世品质随身物品
觉书,奇珍,1068回声,,射影机的说明书,奇珍品质随身物品
绝影,,1068回声,3888碎片,行动迅捷，身影难及。,奇珍随身物品
军刀,独特,258回声,968碎片,有着华丽刀鞘的廓尔喀军刀,独特品质随身物品
咖啡壶,稀世,1888回声,8388碎片,在没有灵感的时刻，连数清杯面浮沫都是一种有趣的娱乐。,稀世品质随身物品
卡诺匹斯罐,奇珍,788回声,2988碎片,太阳的光芒，对囚于阴影的人，太过刺眼了。,奇珍品质随身物品
勘探员 讨红包,,98回声,,讨红包动作，勘探员专属,个性动作
勘探员 祝福,,98回声,,祝福动作，勘探员专属，最佳演绎动作,个性动作
刻度修正,,1388回声,,也许她足够幸运，每一次都能修正厄运的差值。,奇珍时装
刻耳柏洛斯,,888回声,3188碎片,门内恶犬，请勿靠近!,随从
克拉拉,奇珍,1388回声,4888碎片,她精心准备了一个礼物，里面装着充满思念的小木屋。,奇珍品质时装
可妮兔,,1388回声,,可妮兔的礼物。,奇珍时装
科学的艺术,奇珍,788回声,2988碎片,命运是不可逆的公式，再伟大的科学无法为它赋值。,奇珍品质随身物品
科研员,独特,288回声,1088碎片,在危险的实验室中触碰科学的禁地，这又何尝不是另一种极具魅力的探险之旅呢?,独特品质时装
空境,独特,258回声,968碎片,破镜难圆人人皆知，但即便是无法换回的错误，也可以是一种新生。,独特品质随身物品
恐惧的旧影,奇珍,1388回声,4888碎片,她是被创伤、执念、错觉缠绕的生灵，却不愿被过去的阴影侵蚀命运。,奇珍品质时装
口琴,独特,258回声,968碎片,这是第一件与父亲共同完成的作品，上面镌刻的留言永远不会磨灭。,独特品质随身物品
酷洛米的眼镜,独特,288回声,,第五人格 × 三丽鸥大明星 联动随身物品,独特品质随身物品
枯萎壁灯,,230回声,1088线索,"万圣节来了,你准备好参加舞会了吗?(2022万圣节家具)",独特家具
枯萎的花冠,奇珍,788回声,2988碎片,枯荣在须臾间轮转，勾勒成永恒的圆。,奇珍品质随身物品
宽恕,稀世,1888回声,8388碎片,没有罪人值得被宽恕，包括我自己。,稀世品质随身物品
盔甲玩偶,独特,258回声,968碎片,这个玩具，总觉得在哪里见过？,独特品质随身物品
溃夜猎者,,1388回声,,腐朽的安宁亦需无声的屠戮，黑夜的猎者潜伏于此，手起之处，万籁俱寂。,奇珍时装
馈赠,稀世,1888回声,8388碎片,使人重获新生的馈赠，有时并不以祝福之名降临。,稀世品质随身物品
昆虫学者 回响,,288回声,,回响动作,个性动作
腊梅圆窗,,230回声,1088线索,,独特家具
莱拉,,1388回声,4888碎片,玛吉努，我在这里。,奇珍时装
蓝蝶,,88回声,388碎片,美丽的蓝蝶，会给予求生者心灵上的慰藉,罕见随从
兰闺惊梦,奇珍,1388回声,4888碎片,时光是回忆的最佳滤镜，在一切都未发生前。,奇珍品质时装
老式挂钟,,230回声,,,家具
乐谱笔,独特,258回声,968碎片,一挥而就。,独特品质随身物品
乐谱竹简,独特,258回声,968碎片,乐符已然模糊，但那旋律永远徘徊在记忆之中。,独特品质随身物品
乐园,奇珍,788回声,2988碎片,枯叶凋零，沉入泥土，当根系开始腐朽，曾经的乐园也随之一同倾覆。,奇珍品质随身物品
雷电生成器,稀世,1888回声,8388碎片,这个小装置蕴含大量的电能，看起来像是把一个球状闪电束缚在磁场中。,稀世品质随身物品
雷鼓,,788回声,,WE ARE ZETA DIVISION. Identity Ⅴ Japan League 2024夏季赛冠军ZETA DIVISION战队专属随身物品。,奇珍随身物品
雷霆万钧,,788回声,,WE ARE ZETA DIVISION. Identity Ⅴ Japan League 2023夏季赛冠军ZETA DIVISION战队专属随身物品。,奇珍随身物品
立式储物柜,,230回声,,,家具
李天辰,,1388回声,,李天辰的服装。,奇珍时装
栗子糕,,198回声,968碎片,对自然食材，品鉴和培育同样重要!,独特随身物品
量杯,独特,258回声,968碎片,精确的测量在任何时刻都至关重要。,独特品质随身物品
量角仪,独特,258回声,968碎片,如果人心的方可以像角度一样测量就好了。,独特品质随身物品
猎枪,独特,258回声,968碎片,赏金猎人们喜欢的武器，填入银质子弹就能干掉很多黑暗生物,独特品质随身物品
猎人的箭囊,稀世,1888回声,8388碎片,带上它，猎人会出现在你身边。,稀世品质随身物品
烈焰地毯,,2150回声,,,稀世家具
灵狛柴之助,,488回声,1488碎片,祥瑞御免，恶灵退散！柴之助的决心比顽石还要坚定！,独特随从
铃鼓,独特,258回声,968碎片,噢，卡门，跟着节拍一起起舞吧!,独特品质随身物品
灵河,,1888回声,8388碎片,灵河抚天际，游鱼相允翕。,稀世随身物品
灵魂回响,,950回声,4188线索,想听一听“他”的声音吗？（2023年万圣节家具）,家具
零件拍档,,1108回声,4888碎片,隶属能源企业。他曾经也是车手，在丧失斗志后便被强迫下放到赛场中充当援助。无时无刻，他都在懊悔自己被赛道吞灭的时间。,奇珍时装
零钱碗,奇珍,788回声,2988碎片,现在到打赏观众的时候了。,奇珍品质随身物品
灵蛇,,1388回声,,最机巧的“演员”，擅长将恶意佯装为热忱。,奇珍时装
灵犀妙探,稀世,2888回声,12888碎片,加入神秘的【幽灵社】后，他成为了一位灵异现象调查员，用自研的奇怪工具，探寻各种灵异传闻背后的真相。,稀世品质时装
铃语,,1068回声,3888碎片,象征月亮的眼睛，将镌刻于此，伴随铃语，成为佩戴者的护身符。,奇珍随身物品
六便士,独特,60回声,,哼！只有两手空空的人才会明白，相比高悬于天的月亮，这些硬币有着更令人安心的重量。,独特品质时装
六分仪,,258回声,968碎片,没有什么比迷失方向更可怕的了。,独特随身物品
硫化,独特,318回声,1188碎片,在这些灰黑色的“石块”被点燃前，没有人能预料这片火焰将蔓延至整片大地。,独特品质时装
镏金铜鹿,,1388回声,,那只镏金铜鹿，立在角落注视着、沉默着，等待着属于它的时代的来临。,奇珍时装
流纹,独特,318回声,1188碎片,这些冷硬的山石见证了那场灾难，熔火曾熄灭，但依旧在地底蛰伏着。,独特品质时装
刘枭,,1388回声,,刘枭的服装。,奇珍时装
流萤,,2888回声,12888碎片,我终于找到能治愈人心灵的一剂良药。,稀世时装
龙年挂灯,,230回声,,龙年的特色挂灯，点亮新春。（2024年春节家具）,独特家具
胧夜,稀世,12888碎片,2888回声,最后，鸟儿飞向了长夜，她张开喙，唱起祝福的歌，灿金的翅膀上闪耀着昔日的光辉。,稀世品质时装
龙之歌,稀世,1888回声,8388碎片,琴弦震颤的余音中，仍蛰伏着属于龙的歌谣。,稀世品质随身物品
笼中偶,,2888回声,12888碎片,金笼子，晃呀晃。小皮鞋，锃光亮。小主人，说爱我。小主人，剪翅膀。鸟儿衔来钢铁芯，在他头上轻轻放。金丝笼，小皮靴，统统抛下追月亮。旧阁楼，叮叮当，你猜谁在摇铃铛？,稀世时装
笼中之蝶,,1388回声,,她很喜欢《蝴蝶夫人》中那位纯真的东方女性，以为自己会寻到比之更为真挚的爱情，但未料自己的命运更是惨淡——汪洋吞噬了她的水手，也吞噬了她的一切。,奇珍时装
路牌,,258回声,968碎片,瞧一瞧，看一看，这里的演出真精彩！,独特随身物品
鹿头 请龙,,98回声,,请龙动作，鹿头专属,个性动作
落地钟,,950回声,4188线索,设计精巧又充满节庆氛围的摆设，美妙的旋律使人沉浸其中（2022圣诞节家具）,家具
罗密欧,奇珍,1388回声,4888碎片,与其因为得不到你的爱情而在这世上捱命，还不如在仇人的刀剑下丧生。,奇珍品质时装
落木,奇珍,788回声,2988碎片,就让冒险的这一刻永远定格。,奇珍品质随身物品
罗纳德,,1388回声,,“是你，纺织命运的丝线”——让它成为束缚所有人的罗网。,奇珍时装
罗生门,奇珍,1388回声,4888碎片,眼泪，可以用来愚弄众人，也可以用来愚弄自己。,奇珍品质时装
绿色盆栽1,,230回声,,,家具
绿色盆栽3,,230回声,,,家具
绿色盆栽4,,230回声,,,家具
律师 花束,,98回声,,花束动作，律师专属,独特个性动作
MRC·2024秋,,788回声,,我们就是奇迹！2024IVL秋季赛冠军MRC战队随从。,奇珍随从
马刺,独特,258回声,968碎片,可以不用，但不能没有。,独特品质随身物品
玛吉努,,1388回声,4888碎片,我行经过这面墙，莱拉家的墙，我亲亲地吻着它。夺走我心的可不是这座房子，而是住在里面的某个她。,奇珍时装
玛利亚公理,稀世,2888回声,12888碎片,洞悉的灵魂不拘于任何形体的束缚。她感知现实表皮下万物的本质，并将其写作比梦更光怪陆离的诗篇。,稀世品质时装
马年窗花1,,230回声,,,独特家具
马年窗花2,,230回声,,,独特家具
马年窗花3,,230回声,,,独特家具
马年窗花4,,230回声,,,独特家具
马年窗花5,,230回声,,,独特家具
马年吉祥挂饰,,230回声,,,独特家具
曼陀林,独特,258回声,968碎片,每个牛仔都该给自己备上一把,独特品质随身物品
曼陀罗折纸,独特,258回声,968碎片,每送走一名逝者，卡尔便折一朵曼陀罗，希望这逝去之花平安将亡魂带向彼岸。,独特品质随身物品
盲从,,288回声,1088碎片,知情同意，绝对顺从，盲目其实是对爱最优的观察视角。,独特时装
盲女 墨镜,独特,258回声,968碎片,墨镜下的眼眸失去了光明，但没有失去信念。,独特品质随身物品
毛巾置物架,,230回声,,,家具
茅龙书,,1888回声,8388碎片,起笔挥墨如有神，画龙点睛震乾坤。,稀世随身物品
猫猫南瓜塔,,950回声,4188线索,猫猫与南瓜的奇妙组合，摆在家里也很可爱吧？（2023年万圣节家具）,家具
猫咪玩偶,独特,258回声,968碎片,为它制作的玩偶，代表着我的心意，喜怒无常的利爪，也会在你身上留下印记。,独特品质随身物品
猫尾,,1888回声,8388碎片,每只猫都有一种共同的特质——神出鬼没,稀世随身物品
梅爱丽,,1178回声,,美术展中的神秘金发少女。（2025年Ib联动限定获得）,奇珍时装
镁粉药铲,独特,258回声,968碎片,镁粉可以撒在手上增加摩擦力，或者撒到喝倒彩的讨厌鬼眼睛里。,独特品质随身物品
玫瑰手杖（蓝）,,1314线索,388回声,世界上本没有蓝色的玫瑰，这深邃的蓝代表的是跨越不可能的爱。,奇珍随身物品
玫瑰藤,,1068回声,3888碎片,想得到真心的仙子，却总是将爱寄托于易碎之物。,奇珍随身物品
玫瑰之下,,1888回声,8388碎片,谨以此花献给沉默的你。,稀世随身物品
美乐蒂的眼镜,独特,288回声,,第五人格 × 三丽鸥大明星 联动随身物品,独特品质随身物品
美梦的灰烬,独特,318回声,1188碎片,在碰触到真相之前，我们仍可在记忆中描摹幸福的温度和欢愉的残影。,独特品质时装
魅影古堡,,3288回声,,,户型
煤油提灯,独特,258回声,968碎片,阴森的夜晚，光明有时会成为一种负担，却又不可或缺。,独特品质随身物品
